q;aA ;bB;cC;dD;eE;fF;hH;letras restantes; _;0;0; /; *; %; <; >; =; &; |; !;0; Digitos – 0;0;Caracter invalido; ^;Espacio;Resultado
0;	  1;1;1;1;1;1;1;1;1;3;5;28;28;28;24;25;29;31;32;33;2;2;17;36;27;0;Cadena Vacia
1;	  1;1;1;1;1;1;1;1;1;35;35;35;35;35;35;35;35;35;35;35;1;1;35;36;35;35;Identificador
2;	 10;10;10;10;10;10;16;35;35;35;35;35;35;35;35;35;35;35;35;35;2;2;17;36;35;35;Entero sin signo
3;	  35;35;35;35;35;35;35;35;35;4;35;35;35;35;35;35;26;35;35;35;7;7;8;36;35;35;Operador aritmetico
4;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;36;35;35;Operador aritmetico
5;	  35;35;35;35;35;35;35;35;35;35;6;35;35;35;35;35;26;35;35;35;7;7;8;36;35;35;Operador aritmetico
6;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;36;35;35;Operador aritmetico
7;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;7;7;8;36;35;35;Entero con signo
8;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;9;9;35;36;35;35;Cadena incompleta. Posible Real con signo
9;	  35;35;35;35;11;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;9;9;35;36;35;35;Real con signo
10;	 10;10;10;10;10;10;16;35;35;35;35;35;35;35;35;35;35;35;35;35;10;10;35;36;35;35;Cadena incompleta. Posible entero hexadecimal
11;	  35;35;35;35;35;35;35;35;35;12;12;35;35;35;35;35;35;35;35;35;13;14;35;36;35;35;Cadena incompleta. Posible Real con signo Exponencial
12;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;13;14;35;36;35;35;Cadena incompleta. Posible Real con signo Exponencial
13;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;13;14;35;36;35;35;Real con signo forma Exponencial
14;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;15;15;35;36;35;35;Real con signo forma Exponencial
15;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;37;37;35;36;35;35;Real con signo forma Exponencial
16;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;36;35;35;Entero Hexadecimal
17;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;18;18;35;36;35;35;Cadena incompleta. Posible Real sin signo Exponencial
18;	  35;35;35;35;19;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;18;18;35;36;35;35;Real sin signo
19;	  35;35;35;35;35;35;35;35;35;20;20;35;35;35;35;35;35;35;35;35;21;22;35;36;35;35;Cadena incompleta. Posible Real sin signo Exponencial
20;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;21;22;35;36;35;35;Cadena incompleta. Posible Real sin signo Exponencial
21;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;22;22;35;36;35;35;Real con signo forma Exponencial
22;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;23;23;35;36;35;35;Real con signo forma Exponencial
23;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;37;37;35;36;35;35;Real con signo forma Exponencial
24;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;27;35;30;35;35;35;35;35;35;36;35;35;Operador relacional
25;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;27;30;35;35;35;35;35;35;36;35;35;Operador relacional
26;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;36;35;35;Operador de asignacion
27;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;26;35;35;35;35;35;35;36;35;35;Operador de bits
28;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;26;35;35;35;35;35;35;36;35;35;Operador aritmetico
29;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;30;35;35;35;35;35;35;36;35;35;Operador de asignacion
30;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;36;35;35;Operador relacional
31;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;26;34;35;35;35;35;35;36;35;35;Operador de bits
32;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;26;35;34;35;35;35;35;36;35;35;Operador de bits
33;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;30;35;35;35;35;35;35;36;35;35;Operador logico
34;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;36;35;35;Operador logico
35;	  35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;Caracter inesperado
36;	 36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;Caracter no valido
37;	 37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;El valor absoluto del exponente es mayor a 99
